Palazzo Pignano comune,Palazzo Pignano comune.1
,
Palazzo Pignano – Veduta,Palazzo Pignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Dossena[1] (Lega Nord) dal 4-10-2021
Territorio,Territorio
Coordinate,45°23′22.59″N 9°34′21.71″E
Altitudine,82 m s.l.m.
Superficie,"8,82 km²"
Abitanti,3 798[2] (30-11-2025)
Densità,"430,61 ab./km²"
Frazioni,"Cascine Capri, Cascine Gandini, Scannabue"
Comuni confinanti,"Monte Cremasco, Pandino, Torlino Vimercati, Trescore Cremasco, Vaiano Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019066
Cod. catastale,G260
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,pignanesi
Patrono,san Martino di Tours
Cartografia,Cartografia
Palazzo Pignano,Palazzo Pignano
Palazzo Pignano – MappaPosizione del comune di Palazzo Pignano nella provincia di Cremona,Palazzo Pignano – MappaPosizione del comune di Palazzo Pignano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
