Ripalta Arpina comune,Ripalta Arpina comune.1
,
Ripalta Arpina – Veduta,Ripalta Arpina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Pietro Torazzi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°18′N 9°44′E
Altitudine,72 m s.l.m.
Superficie,"6,96 km²"
Abitanti,1 089[1] (30-11-2025)
Densità,"156,47 ab./km²"
Frazioni,"Boccaserio, Ca' Nova, Saragozza"
Comuni confinanti,"Castelleone, Castiglione d'Adda (LO) Gombito, Madignano, Montodine, Ripalta Guerina"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019080
Cod. catastale,H314
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,ripaltesi o arpinesi[4]
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Ripalta Arpina,Ripalta Arpina
Ripalta Arpina – MappaPosizione del comune di Ripalta Arpina nella provincia di Cremona,Ripalta Arpina – MappaPosizione del comune di Ripalta Arpina nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
