Casteldidone comune,Casteldidone comune.1
,
Casteldidone – VedutaPalazzo Mina della Scala,Casteldidone – VedutaPalazzo Mina della Scala
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Andrea Rivieri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°04′N 10°24′E
Altitudine,27 m s.l.m.
Superficie,"10,79 km²"
Abitanti,542[1] (30-11-2025)
Densità,"50,23 ab./km²"
Comuni confinanti,"Casalmaggiore, Martignana di Po, Piadena Drizzona, Rivarolo del Re ed Uniti, Rivarolo Mantovano (MN), San Giovanni in Croce"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019023
Cod. catastale,C089
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,casteldidonese
Patrono,Santi Abdon e Sennen
Cartografia,Cartografia
Casteldidone,Casteldidone
Casteldidone – MappaPosizione del comune di Casteldidone nella provincia di Cremona,Casteldidone – MappaPosizione del comune di Casteldidone nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
