Ripalta Cremasca comune,Ripalta Cremasca comune.1
,
Ripalta Cremasca – Veduta,Ripalta Cremasca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Aries Bonazza (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°19′42.91″N 9°41′00.76″E
Altitudine,78 m s.l.m.
Superficie,"11,78 km²"
Abitanti,3 467[1] (30-11-2025)
Densità,"294,31 ab./km²"
Frazioni,"Bolzone, Ripalta Nuova (sede comunale), San Michele, Zappello"
Comuni confinanti,"Capergnanica, Credera Rubbiano, Crema, Madignano, Moscazzano, Ripalta Arpina, Ripalta Guerina"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019081
Cod. catastale,H315
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,ripaltesi[4]
Patrono,"santi Lorenzo, Caterina e Cristoforo (a Ripalta Nuova); san Bernardo abate (a Zappello); sant'Antonio abate (a Bolzone); san Michele (a san Michele)"
Cartografia,Cartografia
Ripalta Cremasca,Ripalta Cremasca
Ripalta Cremasca – MappaPosizione del comune di Ripalta Cremasca nella provincia di Cremona,Ripalta Cremasca – MappaPosizione del comune di Ripalta Cremasca nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
