Motta Baluffi comune,Motta Baluffi comune.1
,
Motta Baluffi – VedutaIl municipio,Motta Baluffi – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Antonietta Premoli[1] (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°03′N 10°16′E
Altitudine,32 m s.l.m.
Superficie,"16,47 km²"
Abitanti,771[2] (30-11-2025)
Densità,"46,81 ab./km²"
Frazioni,"Solarolo Monasterolo, Stagno Pallavicino"
Comuni confinanti,"Cella Dati, Cingia de' Botti, Roccabianca (PR), San Daniele Po, Scandolara Ravara, Torricella del Pizzo"
Altre informazioni,Altre informazioni
Cod. postale,26045
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019061
Cod. catastale,F771
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,mottesi
Patrono,San Cataldo
Giorno festivo,10 maggio
Cartografia,Cartografia
Motta Baluffi,Motta Baluffi
Motta Baluffi – MappaPosizione del comune di Motta Baluffi nella provincia di Cremona,Motta Baluffi – MappaPosizione del comune di Motta Baluffi nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
