Provincia di Cremona provincia,Provincia di Cremona provincia.1
,
Provincia di Cremona – VedutaIl palazzo sede dell'Amministrazione provinciale e della Prefettura in Corso Vittorio Emanuele II.,Provincia di Cremona – VedutaIl palazzo sede dell'Amministrazione provinciale e della Prefettura in Corso Vittorio Emanuele II.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Cremona
Presidente,Roberto Mariani[1][2] (centro-sinistra) dal 29-9-2024
Data di istituzione,1859
Territorio,Territorio
Coordinate del capoluogo,45°08′N 10°02′E
Superficie,"1 770,46 km²"
Abitanti,355 101[3] (31-10-2025)
Densità,"200,57 ab./km²"
Comuni,113 comuni
Province confinanti,"Bergamo, Brescia, Lodi, Mantova, Milano, Parma, Piacenza"
Altre informazioni,Altre informazioni
Cod. postale,"26100, 26010-26049"
Prefisso,"0363, 0372, 0373, 0374, 0375, 0376"
Fuso orario,UTC+1
ISO 3166-2,IT-CR
Codice ISTAT,019
Targa,CR
Nome abitanti,cremonesi
Cartografia,Cartografia
Provincia di Cremona – Localizzazione,Provincia di Cremona – Localizzazione
Provincia di Cremona – MappaPosizione della provincia di Cremona all'interno della Lombardia,Provincia di Cremona – MappaPosizione della provincia di Cremona all'interno della Lombardia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
