Trigolo comune,Trigolo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Flavio Tironi (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°19′38.64″N 9°49′02.28″E
Altitudine,70 m s.l.m.
Superficie,"16,06 km²"
Abitanti,1 643[1] (30-11-2025)
Densità,"102,3 ab./km²"
Frazioni,Moscona
Comuni confinanti,"Castelleone, Cumignano sul Naviglio, Fiesco, Salvirola, Soresina"
Altre informazioni,Altre informazioni
Cod. postale,26018
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019110
Cod. catastale,L426
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 478 GG[3]"
Nome abitanti,trigolesi (trigulés)
Patrono,San Benedetto
Giorno festivo,11 luglio
Cartografia,Cartografia
Trigolo,Trigolo
Trigolo – MappaPosizione del comune di Trigolo nella provincia di Cremona,Trigolo – MappaPosizione del comune di Trigolo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
