Formigara comune,Formigara comune.1
,
Formigara – Veduta,Formigara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,William Mario Vailati (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°14′N 9°46′E
Altitudine,56 m s.l.m.
Superficie,"12,64 km²"
Abitanti,1 036[1] (30-11-2025)
Densità,"81,96 ab./km²"
Frazioni,Cornaleto
Comuni confinanti,"Castelgerundo (LO), Castiglione d'Adda (LO), Gombito, Pizzighettone, San Bassano"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019044
Cod. catastale,D710
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,formigaresi (in dialetto furmighin)
Patrono,"sant'Eurosia, santi Nazario e Celso"
Giorno festivo,28 luglio
Cartografia,Cartografia
Formigara,Formigara
Formigara – MappaPosizione del comune di Formigara nella provincia di Cremona,Formigara – MappaPosizione del comune di Formigara nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
