Crotta d'Adda comune,Crotta d'Adda comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Sebastiano Baroni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°10′N 9°51′E
Altitudine,52 m s.l.m.
Superficie,"12,94 km²"
Abitanti,613[1] (30-11-2025)
Densità,"47,37 ab./km²"
Comuni confinanti,"Acquanegra Cremonese, Castelnuovo Bocca d'Adda (LO), Cornovecchio (LO), Grumello Cremonese ed Uniti, Maccastorna (LO), Meleti (LO), Monticelli d'Ongina (PC), Pizzighettone, Spinadesco"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019038
Cod. catastale,D186
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,crottesi
Patrono,San Lorenzo
Cartografia,Cartografia
Crotta d'Adda,Crotta d'Adda
Crotta d'Adda – MappaPosizione del comune di Crotta d'Adda nella provincia di Cremona,Crotta d'Adda – MappaPosizione del comune di Crotta d'Adda nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
