Cicognolo comune,Cicognolo comune.1
,
Cicognolo – VedutaIl castello,Cicognolo – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Angelo Bergamaschi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°10′N 10°12′E
Altitudine,44 m s.l.m.
Superficie,"6,96 km²"
Abitanti,976[1] (30-11-2025)
Densità,"140,23 ab./km²"
Comuni confinanti,"Cappella de' Picenardi, Pescarolo ed Uniti, Pieve San Giacomo, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019030
Cod. catastale,C678
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cicognolesi
Cartografia,Cartografia
Cicognolo,Cicognolo
Cicognolo – MappaPosizione del comune di Cicognolo nella provincia di Cremona,Cicognolo – MappaPosizione del comune di Cicognolo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
