Bonemerse comune,Bonemerse comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Luca Ferrarini (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°07′N 10°05′E
Altitudine,40 m s.l.m.
Superficie,"5,9 km²"
Abitanti,1 437[1] (30-11-2025)
Densità,"243,56 ab./km²"
Frazioni,"Carettolo, Farisengo"
Comuni confinanti,"Cremona, Malagnino, Pieve d'Olmi, Stagno Lombardo"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019006
Cod. catastale,A972
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,bonemersesi
Patrono,Natività di Maria Vergine
Giorno festivo,penultima domenica prima delle Ceneri
Cartografia,Cartografia
Bonemerse,Bonemerse
Bonemerse – MappaPosizione del comune di Bonemerse nella provincia di Cremona,Bonemerse – MappaPosizione del comune di Bonemerse nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
