Castelverde comune,Castelverde comune.1
,
Castelverde – VedutaMunicipio e campanile di Castelverde,Castelverde – VedutaMunicipio e campanile di Castelverde
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Graziella Locci (lista civica[1]) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°11′19.58″N 9°59′44.05″E
Altitudine,52 m s.l.m.
Superficie,"30,89 km²"
Abitanti,5 697[2] (30-11-2025)
Densità,"184,43 ab./km²"
Frazioni,"Castelnuovo del Zappa, Costa Sant'Abramo, Livrasco, Marzalengo, Ossalengo, San Martino in Beliseto[3]"
Comuni confinanti,"Casalbuttano ed Uniti, Cremona, Olmeneta, Paderno Ponchielli, Persico Dosimo, Pozzaglio ed Uniti, Sesto ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,26022
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019026
Cod. catastale,B129
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 389 GG[5]"
Nome abitanti,castelverdesi
Patrono,sant'Archelao[non chiaro]
Giorno festivo,29 agosto
Cartografia,Cartografia
Castelverde,Castelverde
Castelverde – MappaPosizione del comune di Castelverde nella provincia di Cremona,Castelverde – MappaPosizione del comune di Castelverde nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
