Cremosano comune,Cremosano comune.1
,
Cremosano – VedutaChiesa parrocchiale di Santa Maria Maddalena,Cremosano – VedutaChiesa parrocchiale di Santa Maria Maddalena
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Marco Fornaroli[1] (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°23′42″N 9°38′20″E
Altitudine,82 m s.l.m.
Superficie,"5,76 km²"
Abitanti,1 731[2] (30-11-2025)
Densità,"300,52 ab./km²"
Comuni confinanti,"Campagnola Cremasca, Casaletto Vaprio, Crema, Trescore Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019037
Cod. catastale,D151
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,cremosanesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Cremosano,Cremosano
Cremosano – MappaPosizione del comune di Cremosano nella provincia di Cremona,Cremosano – MappaPosizione del comune di Cremosano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
