Azzanello comune,Azzanello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Davide Privitera[1] (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°18′46.33″N 9°55′17.75″E
Altitudine,68 m s.l.m.
Superficie,"11,12 km²"
Abitanti,631[2] (30-11-2025)
Densità,"56,74 ab./km²"
Comuni confinanti,"Borgo San Giacomo (BS), Casalmorano, Castelvisconti, Genivolta, Villachiara (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019004
Cod. catastale,A526
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,azzanellesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Azzanello,Azzanello
Azzanello – MappaPosizione del comune di Azzanello nella provincia di Cremona,Azzanello – MappaPosizione del comune di Azzanello nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
