Isola Dovarese comune,Isola Dovarese comune.1
,
Isola Dovarese – VedutaPiazza Matteotti,Isola Dovarese – VedutaPiazza Matteotti
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Gianpaolo Gansi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°10′33″N 10°18′44″E
Altitudine,35 m s.l.m.
Superficie,"9,47 km²"
Abitanti,1 062[1] (30-11-2025)
Densità,"112,14 ab./km²"
Comuni confinanti,"Canneto sull'Oglio (MN), Casalromano (MN), Pessina Cremonese, Piadena Drizzona, Torre de' Picenardi, Volongo"
Altre informazioni,Altre informazioni
Cod. postale,26031
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019053
Cod. catastale,E356
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,isolani
Patrono,San Nicola di Bari
Cartografia,Cartografia
Isola Dovarese,Isola Dovarese
Isola Dovarese – MappaPosizione del comune di Isola Dovarese nella provincia di Cremona,Isola Dovarese – MappaPosizione del comune di Isola Dovarese nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
