Derovere comune,Derovere comune.1
Derovere – Veduta,Derovere – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Mauro Busseti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°06′39″N 10°14′56″E
Altitudine,36 m s.l.m.
Superficie,"9,99 km²"
Abitanti,278[1] (30-11-2025)
Densità,"27,83 ab./km²"
Frazioni,"Ca' de' Bonavogli, Casalorzo Boldori, Casalorzo Geroldi, Ca' de' Novelli, Ca' de' Lamagni, Cà de' Cervi, Ferrabò"
Comuni confinanti,"Cappella de' Picenardi, Cella Dati, Cingia de' Botti, Pieve San Giacomo, Torre de' Picenardi"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019040
Cod. catastale,D278
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,deroveresi
Cartografia,Cartografia
Derovere,Derovere
Derovere – MappaPosizione del comune di Derovere nella provincia di Cremona,Derovere – MappaPosizione del comune di Derovere nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
