Persico Dosimo comune,Persico Dosimo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Bignardi (Lista civica) dal 22-9-2020[1]
Territorio,Territorio
Coordinate,45°11′N 10°06′E
Altitudine,48 m s.l.m.
Superficie,"20,61 km²"
Abitanti,3 246[2] (30-11-2025)
Densità,"157,5 ab./km²"
Frazioni,"Bertana Boccida, Bettenesco, Dosimo (sede comunale), Persichello, Persico, Quistro, Barbiselle"
Comuni confinanti,"Castelverde, Corte de' Frati, Cremona, Gadesco-Pieve Delmona, Grontardo, Pozzaglio ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,26043
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019068
Cod. catastale,G469
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,persichesi
Patrono,santa Colomba[non chiaro] e santi Cosma e Damiano
Cartografia,Cartografia
Persico Dosimo,Persico Dosimo
Persico Dosimo – MappaPosizione del comune di Persico Dosimo nella provincia di Cremona,Persico Dosimo – MappaPosizione del comune di Persico Dosimo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
