Cappella Cantone comune,Cappella Cantone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Francesco Monfredini (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°15′N 9°50′E
Altitudine,60 m s.l.m.
Superficie,"13,15 km²"
Abitanti,540[1] (30-11-2025)
Densità,"41,06 ab./km²"
Frazioni,"Cappelle, Oscasale, Santa Maria dei Sabbioni (capoluogo comunale)"
Comuni confinanti,"Annicco, Castelleone, Grumello Cremonese ed Uniti, Pizzighettone, San Bassano, Soresina"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019013
Cod. catastale,B679
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cappellacantonesi
Patrono,san Carlo Borromeo
Cartografia,Cartografia
Cappella Cantone,Cappella Cantone
Cappella Cantone – MappaPosizione del comune di Cappella Cantone nella provincia di Cremona,Cappella Cantone – MappaPosizione del comune di Cappella Cantone nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
