Bagnolo Cremasco comune,Bagnolo Cremasco comune.1
,
Bagnolo Cremasco – VedutaPalazzo Comunale,Bagnolo Cremasco – VedutaPalazzo Comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Doriano Aiolfi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°21′53.03″N 9°36′37.99″E
Altitudine,82 m s.l.m.
Superficie,"10,39 km²"
Abitanti,5 099[1] (30-11-2025)
Densità,"490,76 ab./km²"
Frazioni,Gattolino
Comuni confinanti,"Chieve, Crema, Vaiano Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019005
Cod. catastale,A570
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,bagnolesi
Patrono,Santo Stefano protomartire
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Bagnolo Cremasco,Bagnolo Cremasco
Bagnolo Cremasco – MappaPosizione del comune di Bagnolo Cremasco nella provincia di Cremona,Bagnolo Cremasco – MappaPosizione del comune di Bagnolo Cremasco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
