Sergnano comune,Sergnano comune.1
,
Sergnano – Veduta,Sergnano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Mauro Giroletti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°26′N 9°42′E
Altitudine,88 m s.l.m.
Superficie,"12,31 km²"
Abitanti,3 469[1] (30-11-2025)
Densità,"281,8 ab./km²"
Frazioni,"Trezzolasco, Cascine Valdroghe"
Comuni confinanti,"Campagnola Cremasca, Capralba, Caravaggio (BG), Casale Cremasco-Vidolasco, Castel Gabbiano, Mozzanica (BG), Pianengo, Ricengo"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019094
Cod. catastale,I627
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,sergnanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Sergnano,Sergnano
Sergnano – MappaPosizione del comune di Sergnano nella provincia di Cremona,Sergnano – MappaPosizione del comune di Sergnano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
