Ricengo comune,Ricengo comune.1
,
Ricengo – VedutaIl fiume Serio a Ricengo,Ricengo – VedutaIl fiume Serio a Ricengo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Feruccio Romanenghi (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°24′N 9°44′E
Altitudine,86 m s.l.m.
Superficie,"12,54 km²"
Abitanti,1 732[1] (30-11-2025)
Densità,"138,12 ab./km²"
Frazioni,"Bottaiano, Castello, Obizza, Portico"
Comuni confinanti,"Camisano, Casale Cremasco-Vidolasco, Casaletto di Sopra, Crema, Offanengo, Pianengo, Sergnano"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019079
Cod. catastale,H276
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,Ricenghesi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Ricengo,Ricengo
Ricengo – MappaPosizione del comune di Ricengo nella provincia di Cremona,Ricengo – MappaPosizione del comune di Ricengo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
