Monte Cremasco comune,Monte Cremasco comune.1
,
Monte Cremasco – Veduta,Monte Cremasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Lupo Stanghellini (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°22′29.43″N 9°34′11.34″E
Altitudine,84 m s.l.m.
Superficie,"2,34 km²"
Abitanti,2 219[1] (30-11-2025)
Densità,"948,29 ab./km²"
Comuni confinanti,"Crespiatica (LO), Dovera, Palazzo Pignano, Pandino, Vaiano Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019058
Cod. catastale,F434
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,Muccesi (Sasetì)
Patrono,santi Nazario e Celso
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Monte Cremasco,Monte Cremasco
Monte Cremasco – MappaPosizione del comune di Monte Cremasco nella provincia di Cremona,Monte Cremasco – MappaPosizione del comune di Monte Cremasco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
