Fiesco comune,Fiesco comune.1
,
Fiesco – VedutaLa chiesa parrocchiale,Fiesco – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Nicola Luigi Fava (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°20′N 9°47′E
Altitudine,69 m s.l.m.
Superficie,"8,19 km²"
Abitanti,1 216[1] (30-11-2025)
Densità,"148,47 ab./km²"
Comuni confinanti,"Castelleone, Izano, Salvirola, Trigolo"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019043
Cod. catastale,D574
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,fieschesi
Patrono,san Procopio
Giorno festivo,8 luglio
Cartografia,Cartografia
Fiesco,Fiesco
Fiesco – MappaPosizione del comune di Fiesco nella provincia di Cremona,Fiesco – MappaPosizione del comune di Fiesco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
