Genivolta comune,Genivolta comune.1
,
"Genivolta – VedutaVilla Settala, oggi palazzo municipale","Genivolta – VedutaVilla Settala, oggi palazzo municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Gian Paolo Lazzari (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°20′N 9°53′E
Altitudine,70 m s.l.m.
Superficie,"18,57 km²"
Abitanti,1 087[1] (30-11-2025)
Densità,"58,54 ab./km²"
Comuni confinanti,"Azzanello, Casalmorano, Cumignano sul Naviglio, Soncino, Soresina, Villachiara (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019047
Cod. catastale,D966
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,genivoltesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Genivolta,Genivolta
Genivolta – MappaPosizione del comune di Genivolta nella provincia di Cremona,Genivolta – MappaPosizione del comune di Genivolta nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
