Casaletto di Sopra comune,Casaletto di Sopra comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Roberto Moreni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′N 9°47′E
Altitudine,87 m s.l.m.
Superficie,"8,66 km²"
Abitanti,528[1] (30-11-2025)
Densità,"60,97 ab./km²"
Frazioni,"Melotta, Romanengo del Rio"
Comuni confinanti,"Barbata (BG), Camisano, Fontanella (BG), Offanengo, Ricengo, Romanengo, Soncino, Ticengo"
Altre informazioni,Altre informazioni
Cod. postale,26014
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019019
Cod. catastale,B890
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,casalettesi
Patrono,san Patrizio e santi Quirico e Giulitta
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Casaletto di Sopra,Casaletto di Sopra
Casaletto di Sopra – MappaPosizione del comune di Casaletto di Sopra nella provincia di Cremona,Casaletto di Sopra – MappaPosizione del comune di Casaletto di Sopra nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
