Olmeneta comune,Olmeneta comune.1
,
Olmeneta – VedutaLa chiesa parrocchiale di San Giovanni Battista,Olmeneta – VedutaLa chiesa parrocchiale di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Claudio Perri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°14′N 10°01′E
Altitudine,55 m s.l.m.
Superficie,"9,15 km²"
Abitanti,928[1] (30-11-2025)
Densità,"101,42 ab./km²"
Comuni confinanti,"Casalbuttano ed Uniti, Castelverde, Corte de' Cortesi con Cignone, Corte de' Frati, Pozzaglio ed Uniti, Robecco d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019063
Cod. catastale,G047
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,olmenetesi
Patrono,"san Giovanni Battista, san Lucio Papa, san Candido, san Costanzo"
Cartografia,Cartografia
Olmeneta,Olmeneta
Olmeneta – MappaPosizione del comune di Olmeneta nella provincia di Cremona,Olmeneta – MappaPosizione del comune di Olmeneta nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
