Voltido comune,Voltido comune.1
,
Voltido – VedutaMunicipio,Voltido – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giorgio Borghetti (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°06′44.17″N 10°20′03.77″E
Altitudine,35 m s.l.m.
Superficie,"12,24 km²"
Abitanti,334[1] (30-11-2025)
Densità,"27,29 ab./km²"
Frazioni,"Colombarolo, Recorfano"
Comuni confinanti,"Piadena Drizzona, San Martino del Lago, Solarolo Rainerio, Torre de' Picenardi"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019115
Cod. catastale,M127
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,voltidesi
Cartografia,Cartografia
Voltido,Voltido
Voltido – MappaPosizione del comune di Voltido nella provincia di Cremona,Voltido – MappaPosizione del comune di Voltido nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
