Capergnanica comune,Capergnanica comune.1
,
Capergnanica – Veduta,Capergnanica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alex Severgnini[1] (lista civica di centro-sinistra) dal 27 maggio 2013[1] (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°20′N 9°39′E
Altitudine,77 m s.l.m.
Superficie,"6,84 km²"
Abitanti,2 136[2] (30-11-2025)
Densità,"312,28 ab./km²"
Frazioni,Passarera
Comuni confinanti,"Casaletto Ceredano, Chieve, Credera Rubbiano, Crema, Ripalta Cremasca"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019012
Cod. catastale,B650
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,Capergnanichesi
Patrono,san Martino Vescovo
Cartografia,Cartografia
Capergnanica,Capergnanica
Capergnanica – MappaPosizione del comune di Capergnanica nella provincia di Cremona,Capergnanica – MappaPosizione del comune di Capergnanica nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
