Casale Cremasco-Vidolasco comune,Casale Cremasco-Vidolasco comune.1
,
Casale Cremasco-Vidolasco – Veduta,Casale Cremasco-Vidolasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Antonio Giuseppe Grassi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′54.77″N 9°42′50.98″E
Altitudine,92 m s.l.m.
Superficie,"9,19 km²"
Abitanti,1 816[1] (30-11-2025)
Densità,"197,61 ab./km²"
Frazioni,"Casale Cremasco (sede comunale), Vidolasco"
Comuni confinanti,"Camisano, Castel Gabbiano, Pianengo, Ricengo, Sergnano"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019017
Cod. catastale,B881
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,"casalesi, vidolaschesi"
Patrono,"santo Stefano, santi Faustino e Giovita"
Giorno festivo,26 dicembre
Cartografia,Cartografia
Casale Cremasco-Vidolasco,Casale Cremasco-Vidolasco
Casale Cremasco-Vidolasco – MappaPosizione del comune di Casale Cremasco-Vidolasco nella provincia di Cremona,Casale Cremasco-Vidolasco – MappaPosizione del comune di Casale Cremasco-Vidolasco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
