Martignana di Po comune,Martignana di Po comune.1
,
Martignana di Po – Veduta,Martignana di Po – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alessandro Gozzi (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°00′N 10°22′E
Altitudine,26 m s.l.m.
Superficie,"14,92 km²"
Abitanti,2 041[1] (30-11-2025)
Densità,"136,8 ab./km²"
Comuni confinanti,"Casalmaggiore, Colorno (PR), San Giovanni in Croce, Gussola, Casteldidone, Sissa Trecasali (PR)"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019057
Cod. catastale,E983
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,martignanesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Martignana di Po,Martignana di Po
Martignana di Po – MappaPosizione del comune di Martignana di Po nella provincia di Cremona,Martignana di Po – MappaPosizione del comune di Martignana di Po nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
