Castel Gabbiano comune,Castel Gabbiano comune.1
,
Castel Gabbiano – VedutaVilla Griffoni Sant'Angelo,Castel Gabbiano – VedutaVilla Griffoni Sant'Angelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giorgio Sonzogni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°28′N 9°42′E
Altitudine,100 m s.l.m.
Superficie,"5,79 km²"
Abitanti,542[1] (30-11-2025)
Densità,"93,61 ab./km²"
Comuni confinanti,"Camisano, Casale Cremasco-Vidolasco, Fara Olivana con Sola (BG), Isso (BG), Mozzanica (BG), Sergnano"
Altre informazioni,Altre informazioni
Cod. postale,CAP 26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019024
Cod. catastale,C115
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,castelgabbianesi
Patrono,sant'Alessandro
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Castel Gabbiano,Castel Gabbiano
Castel Gabbiano – MappaPosizione del comune di Castel Gabbiano nella provincia di Cremona,Castel Gabbiano – MappaPosizione del comune di Castel Gabbiano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
