Cingia de' Botti comune,Cingia de' Botti comune.1
,
Cingia de' Botti – Veduta,Cingia de' Botti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Nicolò Garavelli (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°05′N 10°17′E
Altitudine,31 m s.l.m.
Superficie,"14,36 km²"
Abitanti,1 162[1] (30-11-2025)
Densità,"80,92 ab./km²"
Frazioni,"Cà de' Corti, Casaletto di Sotto, Mottaiola de' Coppini, Pieve Gurata, Vidiceto"
Comuni confinanti,"Cella Dati, Derovere, Motta Baluffi, San Martino del Lago, Scandolara Ravara, Torre de' Picenardi"
Altre informazioni,Altre informazioni
Cod. postale,26042
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019031
Cod. catastale,C703
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cingesi
Patrono,San Giovanni Evangelista
Cartografia,Cartografia
Cingia de' Botti,Cingia de' Botti
Cingia de' Botti – MappaPosizione del comune di Cingia de' Botti nella provincia di Cremona,Cingia de' Botti – MappaPosizione del comune di Cingia de' Botti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
