Ticengo comune,Ticengo comune.1
,
Ticengo – Veduta,Ticengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Daniela Brognoli [1] (lista civica) dal 15-05-2023[1]
Territorio,Territorio
Coordinate,45°22′N 9°50′E
Altitudine,76 m s.l.m.
Superficie,"7,98 km²"
Abitanti,457[2] (30-11-2025)
Densità,"57,27 ab./km²"
Comuni confinanti,"Casaletto di Sopra, Cumignano sul Naviglio, Romanengo, Salvirola, Soncino"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019104
Cod. catastale,L164
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 410 GG[4]"
Nome abitanti,ticenghesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Ticengo,Ticengo
Ticengo – MappaPosizione del comune di Ticengo nella provincia di Cremona,Ticengo – MappaPosizione del comune di Ticengo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
