Crema comune,Crema comune.1
,
Crema – VedutaIl municipio,Crema – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Fabio Bergamaschi (centro-sinistra) dal 28-6-2022[1]
Territorio,Territorio
Coordinate,45°22′N 9°41′E
Altitudine,79 m s.l.m.
Superficie,"34,52 km²"
Abitanti,34 120[2] (30-11-2025)
Densità,"988,41 ab./km²"
Frazioni,"Ombriano, Sabbioni, Santa Maria dei Mosi, Santo Stefano in Vairano, Vergonzana"
Comuni confinanti,"Bagnolo Cremasco, Campagnola Cremasca, Capergnanica, Cremosano, Izano, Madignano, Offanengo, Pianengo, Ricengo, Ripalta Cremasca, Trescore Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26013
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019035
Cod. catastale,D142
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 506 GG[4]"
Nome abitanti,cremaschi
Patrono,san Pantaleone
Giorno festivo,10 giugno
Cartografia,Cartografia
Crema,Crema
Crema – MappaPosizione del comune di Crema nella provincia di Cremona,Crema – MappaPosizione del comune di Crema nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
