Pieranica comune,Pieranica comune.1
,
Pieranica – Veduta,Pieranica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Valter Giuseppe Raimondi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′43.49″N 9°36′34.78″E
Altitudine,91 m s.l.m.
Superficie,"2,73 km²"
Abitanti,1 105[1] (30-11-2025)
Densità,"404,76 ab./km²"
Comuni confinanti,"Capralba, Quintano, Torlino Vimercati"
Altre informazioni,Altre informazioni
Cod. postale,26017
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019073
Cod. catastale,G603
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,pieranichesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Pieranica,Pieranica
Pieranica – MappaPosizione del comune di Pieranica nella provincia di Cremona,Pieranica – MappaPosizione del comune di Pieranica nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
