Rivolta d'Adda comune,Rivolta d'Adda comune.1
,
"Rivolta d'Adda – VedutaLa torre campanaria della basilica dei SS. Maria Assunta e Sigismondo, innalzata nel 1845 su commissione del nobile don Carlo Sessa, prevosto e vicario foraneo","Rivolta d'Adda – VedutaLa torre campanaria della basilica dei SS. Maria Assunta e Sigismondo, innalzata nel 1845 su commissione del nobile don Carlo Sessa, prevosto e vicario foraneo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giulia Vernizzi[1] (Commissario prefettizio) dal 13-02-2026
Territorio,Territorio
Coordinate,45°28′N 9°31′E
Altitudine,101 m s.l.m.
Superficie,"30,4 km²"
Abitanti,8 354[2] (30-11-2025)
Densità,"274,8 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Agnadello, Arzago d'Adda (BG), Casirate d'Adda (BG), Cassano d'Adda (MI), Comazzo (LO), Merlino (LO), Pandino, Spino d'Adda, Truccazzano (MI)"
Altre informazioni,Altre informazioni
Cod. postale,26027
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,019084
Cod. catastale,H357
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,rivoltani
Patrono,"sant'Alberto Quadrelli, sant'Apollonia"
Giorno festivo,4 luglio
Cartografia,Cartografia
Rivolta d'Adda,Rivolta d'Adda
Rivolta d'Adda – MappaPosizione del comune di Rivolta d'Adda nella provincia di Cremona,Rivolta d'Adda – MappaPosizione del comune di Rivolta d'Adda nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
