Casaletto Vaprio comune,Casaletto Vaprio comune.1
,
Casaletto Vaprio – VedutaLa stazione,Casaletto Vaprio – VedutaLa stazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Ilaria Dioli (lista civica) dal 26/05/2014 (1º mandato)
Territorio,Territorio
Coordinate,45°24′36.87″N 9°38′31.88″E
Altitudine,87 m s.l.m.
Superficie,"5,4 km²"
Abitanti,1 780[1] (30-11-2025)
Densità,"329,63 ab./km²"
Frazioni,Cascina Bondenta
Comuni confinanti,"Campagnola Cremasca, Capralba, Cremosano, Quintano, Trescore Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019020
Cod. catastale,B891
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,casalettesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Casaletto Vaprio,Casaletto Vaprio
Casaletto Vaprio – MappaPosizione del comune di Casaletto Vaprio nella provincia di Cremona,Casaletto Vaprio – MappaPosizione del comune di Casaletto Vaprio nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
