Stagno Lombardo comune,Stagno Lombardo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Roberto Mariani (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′N 10°05′E
Altitudine,36 m s.l.m.
Superficie,"40,2 km²"
Abitanti,1 401[1] (30-11-2025)
Densità,"34,85 ab./km²"
Frazioni,"Brancere, Forcello, Straconcolo, Cantone, Gerre del Pesce, Porto Polesine"
Comuni confinanti,"Bonemerse, Castelvetro Piacentino (PC), Cremona, Gerre de' Caprioli, Pieve d'Olmi, Polesine Zibello (PR), Villanova sull'Arda (PC)"
Altre informazioni,Altre informazioni
Cod. postale,26049
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019103
Cod. catastale,I935
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,stagnaroli
Patrono,san Nazario
Giorno festivo,28 luglio
Cartografia,Cartografia
Stagno Lombardo,Stagno Lombardo
Stagno Lombardo – MappaPosizione del comune di Stagno Lombardo nella provincia di Cremona,Stagno Lombardo – MappaPosizione del comune di Stagno Lombardo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
