Cella Dati comune,Cella Dati comune.1
,
Cella Dati – Veduta,Cella Dati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Fabrizio Lodigiani (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°06′N 10°13′E
Altitudine,34 m s.l.m.
Superficie,"18,92 km²"
Abitanti,514[1] (30-11-2025)
Densità,"27,17 ab./km²"
Frazioni,"Alfeo, Dosso de' Frati, Fontana, Pugnolo, San Lorenzo Mondinari"
Comuni confinanti,"Cingia de' Botti, Derovere, Motta Baluffi, Pieve San Giacomo, San Daniele Po, Sospiro"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019028
Cod. catastale,C435
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cellesi
Cartografia,Cartografia
Cella Dati,Cella Dati
Cella Dati – MappaPosizione del comune di Cella Dati nella provincia di Cremona,Cella Dati – MappaPosizione del comune di Cella Dati nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
