Piadena Drizzona comune,Piadena Drizzona comune.1
,
Piadena Drizzona – VedutaMunicipio,Piadena Drizzona – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Capoluogo,Piadena
Sindaco,Federica Ferrari (lista civica) dal 9-6-2024
Data di istituzione,1-1-2019
Territorio,Territorio
Coordinate del capoluogo,45°08′10.83″N 10°21′37.85″E
Altitudine,34 m s.l.m.
Superficie,"31,69 km²"
Abitanti,4 063[1] (30-11-2025)
Densità,"128,21 ab./km²"
Frazioni,"Castelfranco d'Oglio, Drizzona, Pontirolo Capredoni, San Lorenzo Guazzone, San Paolo Ripa d'Oglio, Vho"
Comuni confinanti,"Calvatone, Canneto sull'Oglio (MN), Casteldidone, Isola Dovarese, Rivarolo Mantovano (MN), San Giovanni in Croce, Solarolo Rainerio, Tornata, Torre de' Picenardi, Voltido"
Altre informazioni,Altre informazioni
Cod. postale,26034
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019116
Cod. catastale,M418
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Cartografia,Cartografia
Piadena,Piadena
Piadena Drizzona – MappaPosizione del comune di Piadena Drizzona nella provincia di Cremona,Piadena Drizzona – MappaPosizione del comune di Piadena Drizzona nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
