Grontardo comune,Grontardo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Santo Sparacino (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°12′N 10°09′E
Altitudine,46 m s.l.m.
Superficie,"12,26 km²"
Abitanti,1 497[1] (30-11-2025)
Densità,"122,1 ab./km²"
Frazioni,"Gambina, Levata"
Comuni confinanti,"Corte de' Frati, Gabbioneta-Binanuova, Gadesco-Pieve Delmona, Persico Dosimo, Pescarolo ed Uniti, Scandolara Ripa d'Oglio, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26044
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019050
Cod. catastale,E193
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,grontardesi
Patrono,san Basilio
Cartografia,Cartografia
Grontardo,Grontardo
Grontardo – MappaPosizione del comune di Grontardo nella provincia di Cremona,Grontardo – MappaPosizione del comune di Grontardo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
