Pieve San Giacomo comune,Pieve San Giacomo comune.1
,
Pieve San Giacomo – Veduta,Pieve San Giacomo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Maurizio Morandi[1] (lista civica Si può insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,45°08′N 10°11′E
Altitudine,40 m s.l.m.
Superficie,"14,85 km²"
Abitanti,1 586[2] (30-11-2025)
Densità,"106,8 ab./km²"
Frazioni,"Gazzo, Silvella, Torre de' Berteri, Olzo ( conosciuto come Valzo nelle cartine dei musei vaticani, abitanti:20)."
Comuni confinanti,"Cappella de' Picenardi, Cella Dati, Cicognolo, Derovere, Sospiro, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26035
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019075
Cod. catastale,G651
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,pievesi
Cartografia,Cartografia
Pieve San Giacomo,Pieve San Giacomo
Pieve San Giacomo – MappaPosizione del comune di Pieve San Giacomo nella provincia di Cremona,Pieve San Giacomo – MappaPosizione del comune di Pieve San Giacomo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
