Pescarolo ed Uniti comune,Pescarolo ed Uniti comune.1
,
Pescarolo ed Uniti – Veduta,Pescarolo ed Uniti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Graziano Cominetti (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°11′41.82″N 10°11′11.87″E
Altitudine,45 m s.l.m.
Superficie,"16,54 km²"
Abitanti,1 550[1] (30-11-2025)
Densità,"93,71 ab./km²"
Frazioni,"Castelnuovo del Vescovo, Pieve Terzagni"
Comuni confinanti,"Cappella de' Picenardi, Cicognolo, Gabbioneta-Binanuova, Grontardo, Pessina Cremonese, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26033
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019069
Cod. catastale,G483
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,Pescarolesi
Patrono,sant'Andrea
Cartografia,Cartografia
Pescarolo ed Uniti,Pescarolo ed Uniti
Pescarolo ed Uniti – MappaPosizione del comune di Pescarolo ed Uniti nella provincia di Cremona,Pescarolo ed Uniti – MappaPosizione del comune di Pescarolo ed Uniti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
