Sospiro comune,Sospiro comune.1
,
Sospiro – Veduta,Sospiro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Fausto Ghisolfi (lista civica) dal 9-6-2024[1]
Territorio,Territorio
Coordinate,45°06′24.96″N 10°09′37.39″E
Altitudine,36 m s.l.m.
Superficie,"18,96 km²"
Abitanti,3 042[2] (30-11-2025)
Densità,"160,44 ab./km²"
Frazioni,"Longardore, San Salvatore, Tidolo"
Comuni confinanti,"Cella Dati, Malagnino, Pieve d'Olmi, Pieve San Giacomo, San Daniele Po, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26048
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019099
Cod. catastale,I865
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,sospiresi
Patrono,san Siro
Cartografia,Cartografia
Sospiro,Sospiro
Sospiro – MappaPosizione del comune di Sospiro nella provincia di Cremona,Sospiro – MappaPosizione del comune di Sospiro nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
