Scandolara Ravara comune,Scandolara Ravara comune.1
,
Scandolara Ravara – Veduta,Scandolara Ravara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Ennio Roberto Oliva (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°02′42.72″N 10°18′28.87″E
Altitudine,31 m s.l.m.
Superficie,"17,08 km²"
Abitanti,1 241[1] (30-11-2025)
Densità,"72,66 ab./km²"
Frazioni,Castelponzone
Comuni confinanti,"Cingia de' Botti, Gussola, Motta Baluffi, San Martino del Lago, Solarolo Rainerio, Torricella del Pizzo"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019092
Cod. catastale,I497
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,Scandolaresi
Cartografia,Cartografia
Scandolara Ravara,Scandolara Ravara
Scandolara Ravara – MappaPosizione del comune di Scandolara Ravara nella provincia di Cremona,Scandolara Ravara – MappaPosizione del comune di Scandolara Ravara nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
