Montodine comune,Montodine comune.1
,
Montodine – Veduta,Montodine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alessandro Pandini (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°17′N 9°43′E
Altitudine,61 m s.l.m.
Superficie,"11,39 km²"
Abitanti,2 401[1] (30-11-2025)
Densità,"210,8 ab./km²"
Comuni confinanti,"Bertonico (LO), Castelleone, Castiglione d'Adda (LO), Gombito, Moscazzano, Ripalta Arpina, Ripalta Cremasca, Ripalta Guerina"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019059
Cod. catastale,F681
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,montodinesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Montodine,Montodine
Montodine – MappaPosizione del comune di Montodine nella provincia di Cremona,Montodine – MappaPosizione del comune di Montodine nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
