Izano comune,Izano comune.1
,
Izano – Veduta,Izano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Luigi Tolasi[1] (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°21′N 9°45′E
Altitudine,74 m s.l.m.
Superficie,"6,19 km²"
Abitanti,1 951[2] (30-11-2025)
Densità,"315,19 ab./km²"
Comuni confinanti,"Castelleone, Crema, Fiesco, Madignano, Offanengo, Romanengo, Salvirola"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019054
Cod. catastale,E380
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 251 GG[4]"
Nome abitanti,izanesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Izano,Izano
Izano – MappaPosizione del comune di Izano nella provincia di Cremona,Izano – MappaPosizione del comune di Izano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
