Pieve d'Olmi comune,Pieve d'Olmi comune.1
,
Pieve d'Olmi – VedutaPalazzo Municipale,Pieve d'Olmi – VedutaPalazzo Municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Stefano Guastalla (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°04′19.62″N 10°07′47.43″E
Altitudine,36 m s.l.m.
Superficie,"19,44 km²"
Abitanti,1 237[1] (30-11-2025)
Densità,"63,63 ab./km²"
Frazioni,"Cà de' Gatti, Cà de' Staoli, San Fiorano"
Comuni confinanti,"Bonemerse, Malagnino, San Daniele Po, Sospiro, Stagno Lombardo, Polesine Zibello (PR)"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019074
Cod. catastale,G647
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,olmesi
Patrono,san Gimignano
Cartografia,Cartografia
Pieve d'Olmi,Pieve d'Olmi
Pieve d'Olmi – MappaPosizione del comune di Pieve d'Olmi nella provincia di Cremona,Pieve d'Olmi – MappaPosizione del comune di Pieve d'Olmi nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
