Madignano comune,Madignano comune.1
,
Madignano – Veduta,Madignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Piero Antonio Guardavilla (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°21′N 9°43′E
Altitudine,70 m s.l.m.
Superficie,"10,76 km²"
Abitanti,2 769[1] (30-11-2025)
Densità,"257,34 ab./km²"
Frazioni,Ripalta Vecchia
Comuni confinanti,"Castelleone, Crema, Izano, Ripalta Arpina, Ripalta Cremasca"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019055
Cod. catastale,E793
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,madignanesi
Patrono,"San Pietro in Vincoli (a Madignano), sant'Imerio Vescovo (a Ripalta Vecchia)"
Giorno festivo,"prima domenica agosto , terza domenica ottobre"
Cartografia,Cartografia
Madignano,Madignano
Madignano – MappaPosizione del comune di Madignano nella provincia di Cremona,Madignano – MappaPosizione del comune di Madignano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
