Torre de' Picenardi comune,Torre de' Picenardi comune.1
,
Torre de' Picenardi – VedutaVilla Sommi Picenardi,Torre de' Picenardi – VedutaVilla Sommi Picenardi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Marcello Volpi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°09′N 10°17′E
Altitudine,37 m s.l.m.
Superficie,"34,23 km²"
Abitanti,2 193[1] (30-11-2025)
Densità,"64,07 ab./km²"
Frazioni,"San Pietro, Breda Guazzona, Brolpasino, Ca' d'Andrea, Cà de' Caggi, Canova, Canove de' Biazzi, Casanova d'Offredi, Fossa Guazzona, Galizia, Pieve San Maurizio, Pozzo Baronzio, Ronca de' Golferami, San Lorenzo de' Picenardi, Torre d'Angiolini, San Pietro in Mendicante"
Comuni confinanti,"Cappella de' Picenardi, Cingia de' Botti, Derovere, Isola Dovarese, Pessina Cremonese, Piadena Drizzona, San Martino del Lago, Voltido"
Altre informazioni,Altre informazioni
Cod. postale,26038
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019107
Cod. catastale,L258
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,Torrigiani
Patrono,Sant'Ambrogio
Cartografia,Cartografia
Torre de' Picenardi,Torre de' Picenardi
Torre de' Picenardi – MappaPosizione del comune di Torre de' Picenardi nella provincia di Cremona,Torre de' Picenardi – MappaPosizione del comune di Torre de' Picenardi nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
