Pizzighettone comune,Pizzighettone comune.1
,
Pizzighettone – Veduta,Pizzighettone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Luca Moggi[1] (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°11′N 9°47′E
Altitudine,46 m s.l.m.
Superficie,"32,06 km²"
Abitanti,6 255[2] (30-11-2025)
Densità,"195,1 ab./km²"
Frazioni,"Ferie, Gera, Regona, Roggione"
Comuni confinanti,"Cappella Cantone, Castelgerundo (LO), Cornovecchio (LO), Crotta d'Adda, Formigara, Grumello Cremonese ed Uniti, Maleo (LO), San Bassano"
Altre informazioni,Altre informazioni
Cod. postale,26026
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019076
Cod. catastale,G721
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 545 GG[4]"
Nome abitanti,pizzighettonesi
Patrono,san Bassiano (Pizzighettone); san Rocco (Gera); san Patrizio (Regona); Beata Vergine del Roggione (Roggione)
Giorno festivo,19 gennaio
Cartografia,Cartografia
Pizzighettone,Pizzighettone
Pizzighettone – MappaPosizione del comune di Pizzighettone nella provincia di Cremona,Pizzighettone – MappaPosizione del comune di Pizzighettone nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
