Sesto ed Uniti comune,Sesto ed Uniti comune.1
,
Sesto ed Uniti – VedutaLa chiesa parrocchiale di Sesto Cremonese,Sesto ed Uniti – VedutaLa chiesa parrocchiale di Sesto Cremonese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Carlo Angelo Vezzini[1] (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°11′N 9°55′E
Altitudine,52 m s.l.m.
Superficie,"26,49 km²"
Abitanti,3 281[2] (30-11-2025)
Densità,"123,86 ab./km²"
Frazioni,"Baracchino, Bredalunga, Casanova del Morbasco, Cortetano, Luignano, Sesto Cremonese (capoluogo comunale)"
Comuni confinanti,"Acquanegra Cremonese, Annicco, Cappella Cantone, Castelverde, Cremona, Grumello Cremonese ed Uniti, Paderno Ponchielli, Spinadesco"
Altre informazioni,Altre informazioni
Cod. postale,26028
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019095
Cod. catastale,I683
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,sestesi
Cartografia,Cartografia
Sesto ed Uniti,Sesto ed Uniti
Sesto ed Uniti – MappaPosizione del comune di Sesto ed Uniti nella provincia di Cremona,Sesto ed Uniti – MappaPosizione del comune di Sesto ed Uniti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
