Trescore Cremasco comune,Trescore Cremasco comune.1
,
Trescore Cremasco – Veduta,Trescore Cremasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Angelo Barbati[1] (Lista civica[1]) dal 26-6-2013[2] (3º mandato dal 15-5-2023[1])
Territorio,Territorio
Coordinate,45°24′N 9°38′E
Altitudine,86 m s.l.m.
Superficie,"5,92 km²"
Abitanti,2 918[3] (30-11-2025)
Densità,"492,91 ab./km²"
Comuni confinanti,"Bagnolo Cremasco, Casaletto Vaprio, Crema, Cremosano, Palazzo Pignano, Quintano, Torlino Vimercati"
Altre informazioni,Altre informazioni
Cod. postale,26017
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019109
Cod. catastale,L389
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 404 GG[5]"
Nome abitanti,trescoresi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Trescore Cremasco,Trescore Cremasco
Trescore Cremasco – MappaPosizione del comune di Trescore Cremasco nella provincia di Cremona,Trescore Cremasco – MappaPosizione del comune di Trescore Cremasco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
