Gadesco-Pieve Delmona comune,Gadesco-Pieve Delmona comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Chiara Uggeri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°09′N 10°06′E
Altitudine,44 m s.l.m.
Superficie,"17,1 km²"
Abitanti,1 882[1] (30-11-2025)
Densità,"110,06 ab./km²"
Frazioni,"Ardole San Marino, Bagnarolo, Cà de' Mari (sede comunale), Cà de' Quinzani, Gadesco, Pieve Delmona, Prato Muzio, San Pietro"
Comuni confinanti,"Cremona, Grontardo, Malagnino, Persico Dosimo, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019046
Cod. catastale,D841
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,gadeschesi
Patrono,"san Lucio a Pieve Delmona, San Marino a San Marino, Santi Gervasio e Protasio a Gadesco"
Cartografia,Cartografia
Gadesco-Pieve Delmona,Gadesco-Pieve Delmona
Gadesco-Pieve Delmona – MappaPosizione del comune di Gadesco-Pieve Delmona nella provincia di Cremona,Gadesco-Pieve Delmona – MappaPosizione del comune di Gadesco-Pieve Delmona nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
