Bordolano comune,Bordolano comune.1
,
Bordolano – VedutaLa chiesa parrocchiale,Bordolano – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Andrea Cigoli (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°17′38.35″N 9°59′12.16″E
Altitudine,64 m s.l.m.
Superficie,"8,14 km²"
Abitanti,598[1] (30-11-2025)
Densità,"73,46 ab./km²"
Comuni confinanti,"Casalbuttano ed Uniti, Castelvisconti, Corte de' Cortesi con Cignone, Quinzano d'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019007
Cod. catastale,A986
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,bordolanesi
Cartografia,Cartografia
Bordolano,Bordolano
Bordolano – MappaPosizione del comune di Bordolano nella provincia di Cremona,Bordolano – MappaPosizione del comune di Bordolano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
