Paderno Ponchielli comune,Paderno Ponchielli comune.1
,
Paderno Ponchielli – Veduta,Paderno Ponchielli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Cristiano Strinati (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°14′16″N 9°55′40″E
Altitudine,58 m s.l.m.
Superficie,"23,96 km²"
Abitanti,1 297[1] (30-11-2025)
Densità,"54,13 ab./km²"
Frazioni,"Acqualunga Badona, Ossolaro, San Gervaso"
Comuni confinanti,"Annicco, Casalbuttano ed Uniti, Casalmorano, Castelverde, Sesto ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,26024
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019065
Cod. catastale,G222
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,padernesi
Patrono,san Dalmazio
Cartografia,Cartografia
Paderno Ponchielli,Paderno Ponchielli
Paderno Ponchielli – MappaPosizione del comune di Paderno Ponchielli nella provincia di Cremona,Paderno Ponchielli – MappaPosizione del comune di Paderno Ponchielli nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
