Acquanegra Cremonese comune,Acquanegra Cremonese comune.1
,
Acquanegra Cremonese – Veduta,Acquanegra Cremonese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Oreste Daniele Bricchi (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°10′N 9°53′E
Altitudine,45 m s.l.m.
Superficie,"9,22 km²"
Abitanti,1 178[1] (30-11-2025)
Densità,"127,77 ab./km²"
Frazioni,Fengo
Comuni confinanti,"Crotta d'Adda, Grumello Cremonese ed Uniti, Sesto ed Uniti, Spinadesco"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019001
Cod. catastale,A039
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,acquanegrini
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Acquanegra Cremonese,Acquanegra Cremonese
Acquanegra Cremonese – MappaPosizione del comune di Acquanegra Cremonese nella provincia di Cremona,Acquanegra Cremonese – MappaPosizione del comune di Acquanegra Cremonese nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
