Agnadello comune,Agnadello comune.1
,
Agnadello – Veduta,Agnadello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Stefano Samarati (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°27′N 9°34′E
Altitudine,94 m s.l.m.
Superficie,"12,08 km²"
Abitanti,3 966[1] (30-11-2025)
Densità,"328,31 ab./km²"
Comuni confinanti,"Arzago d'Adda (BG), Palazzo Pignano, Pandino, Rivolta d'Adda, Torlino Vimercati, Vailate"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019002
Cod. catastale,A076
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,agnadellesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Agnadello,Agnadello
Agnadello – MappaPosizione del comune di Agnadello nella provincia di Cremona,Agnadello – MappaPosizione del comune di Agnadello nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
