Offanengo comune,Offanengo comune.1
,
Offanengo – Veduta,Offanengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giovanni Rossoni (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°23′N 9°44′E
Altitudine,80 m s.l.m.
Superficie,"12,58 km²"
Abitanti,5 965[1] (30-11-2025)
Densità,"474,17 ab./km²"
Frazioni,"Cascine de' Ronchi, Tirone, Mulino Venturino"
Comuni confinanti,"Casaletto di Sopra, Crema, Izano, Ricengo, Romanengo[2]"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019062
Cod. catastale,G004
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 474 GG[4]"
Nome abitanti,offanenghesi
Cartografia,Cartografia
Offanengo,Offanengo
Offanengo – MappaPosizione del comune di Offanengo nella provincia di Cremona,Offanengo – MappaPosizione del comune di Offanengo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
