Pianengo comune,Pianengo comune.1
,
Pianengo – VedutaVeduta,Pianengo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Roberto Barbaglio[1] (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°24′N 9°42′E
Altitudine,83 m s.l.m.
Superficie,"5,76 km²"
Abitanti,2 570[2] (30-11-2025)
Densità,"446,18 ab./km²"
Comuni confinanti,"Campagnola Cremasca, Casale Cremasco-Vidolasco, Crema, Ricengo, Sergnano"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019072
Cod. catastale,G558
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 385 GG[4]"
Nome abitanti,pianenghesi
Patrono,Santa Maria in Silvis[5]
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Pianengo,Pianengo
Pianengo – MappaPosizione del comune di Pianengo nella provincia di Cremona,Pianengo – MappaPosizione del comune di Pianengo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
