Malagnino comune,Malagnino comune.1
,
Malagnino – VedutaChiesa di San Michele,Malagnino – VedutaChiesa di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Eugenio Giuseppe Zini (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°08′N 10°07′E
Altitudine,43 m s.l.m.
Superficie,"10,82 km²"
Abitanti,1 700[1] (30-11-2025)
Densità,"157,12 ab./km²"
Frazioni,"San Giacomo Lovera, San Michele"
Comuni confinanti,"Bonemerse, Cremona, Gadesco-Pieve Delmona, Pieve d'Olmi, Sospiro, Vescovato"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019056
Cod. catastale,E843
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,malagninesi
Patrono,san Michele Arcangelo
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Malagnino,Malagnino
Malagnino – MappaPosizione del comune di Malagnino nella provincia di Cremona,Malagnino – MappaPosizione del comune di Malagnino nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
