Torricella del Pizzo comune,Torricella del Pizzo comune.1
,
Torricella del Pizzo – VedutaMunicipio,Torricella del Pizzo – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alessandro Farina (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°01′N 10°18′E
Altitudine,29 m s.l.m.
Superficie,"23,23 km²"
Abitanti,582[1] (30-11-2025)
Densità,"25,05 ab./km²"
Frazioni,Bosco Piazza
Comuni confinanti,"Gussola, Motta Baluffi, Roccabianca (PR), Scandolara Ravara, Sissa Trecasali (PR)"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019108
Cod. catastale,L296
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,torricellesi (turzlèer)
Patrono,san Nicola
Cartografia,Cartografia
Torricella del Pizzo,Torricella del Pizzo
Torricella del Pizzo – MappaPosizione del comune di Torricella del Pizzo nella provincia di Cremona,Torricella del Pizzo – MappaPosizione del comune di Torricella del Pizzo nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
