Casalmaggiore comune,Casalmaggiore comune.1
,
Casalmaggiore – VedutaPiazza Garibaldi,Casalmaggiore – VedutaPiazza Garibaldi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Filippo Bongiovanni (lista civica di centrodestra) dall'8-6-2014 (2º mandato dall'11-6-2019)
Territorio,Territorio
Coordinate,44°59′09″N 10°24′53″E
Altitudine,26 m s.l.m.
Superficie,"64,53 km²"
Abitanti,15 123[1] (30-11-2025)
Densità,"234,36 ab./km²"
Frazioni,"Agoiolo, Caminata, Cappella, Casalbellotto, Fossa Caprara, Motta San Fermo, Quattro Case, Roncadello, Staffolo, Vicobellignano, Vicoboneghisio, Vicomoscano"
Comuni confinanti,"Casteldidone, Colorno (PR), Martignana di Po, Rivarolo del Re ed Uniti, Sabbioneta (MN), Sorbolo Mezzani (PR), Viadana (MN)"
Altre informazioni,Altre informazioni
Cod. postale,26041
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019021
Cod. catastale,B898
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,"casalesi in città, casalaschi nelle frazioni e nel territorio circostante il Comune"
Patrono,san Carlo Borromeo; san Leonardo (Quartiere Borgo)
Giorno festivo,4 novembre
Cartografia,Cartografia
Casalmaggiore,Casalmaggiore
Casalmaggiore – MappaPosizione del comune di Casalmaggiore nella provincia di Cremona,Casalmaggiore – MappaPosizione del comune di Casalmaggiore nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
