Solarolo Rainerio comune,Solarolo Rainerio comune.1
,
Solarolo Rainerio – Veduta,Solarolo Rainerio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Vittorio Ceresini (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°05′N 10°21′E
Altitudine,28 m s.l.m.
Superficie,"11,43 km²"
Abitanti,914[1] (30-11-2025)
Densità,"79,97 ab./km²"
Frazioni,San Lorenzo Aroldo
Comuni confinanti,"Gussola, Piadena Drizzona, San Giovanni in Croce, San Martino del Lago, Scandolara Ravara, Voltido"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019096
Cod. catastale,I790
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,solarolesi
Patrono,"santo Stefano protomartire, san Nicola da Tolentino"
Giorno festivo,26 dicembre
Cartografia,Cartografia
Solarolo Rainerio,Solarolo Rainerio
Solarolo Rainerio – MappaPosizione del comune di Solarolo Rainerio nella provincia di Cremona,Solarolo Rainerio – MappaPosizione del comune di Solarolo Rainerio nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
